Demographic Information - What is your age?,Demographic Information - What is your gender?,Demographic Information - What is your current occupation?,"Digital Device Usage - On average, how many hours per day do you spend on digital devices (smartphones, tablets, computers, etc.)?",Digital Device Usage - Which activities do you spend most of your time on digital devices? (Select all that apply),Digital Device Usage - Do you use digital devices at night before sleep?,Digital Device Usage - Do you think the time you spend on your digital devices is good use of your time?,Mental Health and Well-Being - How often do you feel stressed?,"Mental Health and Well-Being - Have you ever felt symptoms of depression (such as prolonged sadness, loss of interest, fatigue, etc.)?",Mental Health and Well-Being - Do you feel comfortable discussing your mental health with friends or family?,Mental Health and Well-Being - Do you think your digital device usage affects your mental health?,"Physical Activity and Sleep - How often do you engage in physical activities (exercise, sports, etc.)?",Physical Activity and Sleep - How would you rate your sleep quality?,Physical Activity and Sleep - How would you rate your current nutrition and diet?,Access to Mental Health Resources - Are you aware of the mental health resources available to you?,Access to Mental Health Resources - Have you ever sought professional help for mental health issues?,Preferences for Mental Health Support - What is your preferred mode of receiving mental health support? (Select all that apply),Preferences for Mental Health Support - Would you be open to using an AI-powered chatbot for mental health support and managing digital device usage?,Preferences for Mental Health Support - What features would you find most helpful in an AI-powered chatbot? (Select all that apply),Preferences for Mental Health Support - Do you have any suggestions for improving mental health support for Gen Z? (Open-ended)
23-27 years,Male,Student,4-6 hours,"['Work/Professional tasks', 'Studying/Educational purposes', 'Gaming']",Often,No,Often,Sometimes,Neutral,Not at all,Always,Average,Good,Not sure,No,"['Self-help resources (books, articles, videos)', 'In-person counseling']",No,"['Tips for managing digital device usage', 'Resources for mental health (articles, videos, etc.)']",supportive services and professional counseling are vital for communities to effectively support Gen Z's mental health.
12-17 years,Female,Student,More than 6 hours,"['Watching videos/Movies', 'Work/Professional tasks']",Never,Yes,Rarely,No,Very comfortable,A little,Sometimes,Average,Very Good,Not sure,No,"['Self-help resources (books, articles, videos)', 'Online therapy sessions']",Maybe,"['Connection to professional help', 'Resources for mental health (articles, videos, etc.)', 'Daily check-ins/mood tracking']",Providing mental health apps and peer support can significantly improve mental health for Gen Z.
17-23 years,Male,Employed,2-4 hours,"['Studying/Educational purposes', 'Gaming']",Always,No,Always,Yes,Somewhat comfortable,A lot,Rarely,Average,Poor,Not sure,No,"['Self-help resources (books, articles, videos)', 'Other (please specify)']",No,"['Connection to professional help', 'Tips for managing digital device usage', 'Immediate emotional support']",online resources and online and offline resources are vital for youth centers to effectively support Gen Z's mental health.
12-17 years,Female,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies', 'Work/Professional tasks']",Always,Sometimes,Sometimes,No,Somewhat uncomfortable,Moderately,Sometimes,Average,Good,No,No,['AI-powered chatbots'],No,['Tips for managing digital device usage'],Fostering provide accessible and affordable mental health services and create mental health hotlines can lead to better mental health outcomes.
23-27 years,Male,Student,4-6 hours,['Watching videos/Movies'],Always,Yes,Sometimes,No,Very uncomfortable,Moderately,Always,Average,Good,Yes,Yes,"['Other (please specify)', 'Support groups']",Maybe,"['Tips for managing digital device usage', 'Other (please specify)', 'Daily check-ins/mood tracking']",create more inclusive and diverse mental health resources can greatly benefit the mental health of Gen Z.
17-23 years,Male,Student,4-6 hours,"['Gaming', 'Watching videos/Movies']",Sometimes,Sometimes,Often,No,Very uncomfortable,Not at all,Rarely,Good,Poor,No,Yes,['AI-powered chatbots'],No,['Immediate emotional support'],encourage employers to provide mental health support can help bridge the gap in mental health support for Gen Z in online platforms.
17-23 years,Non-binary,Employed,4-6 hours,"['Studying/Educational purposes', 'Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,Sometimes,Sometimes,No,Very comfortable,A little,Often,Good,Good,Not sure,No,['Online therapy sessions'],No,"['Connection to professional help', 'Other (please specify)', 'Daily check-ins/mood tracking']",Providing counseling and therapy and practical guidance can significantly improve mental health for Gen Z.
12-17 years,Male,Student,More than 6 hours,"['Gaming', 'Studying/Educational purposes']",Always,No,Never,No,Neutral,Significantly,Rarely,Good,Good,No,No,['Online therapy sessions'],Maybe,['Daily check-ins/mood tracking'],Fostering implement mental health programs and workshops and create mental health hotlines can lead to improved access to support.
23-27 years,Female,Student,4-6 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Always,No,Always,Sometimes,Neutral,Significantly,Never,Average,Poor,Yes,No,"['Self-help resources (books, articles, videos)', 'Other (please specify)']",Maybe,"['Immediate emotional support', 'Other (please specify)']",Encouraging ensure mental health resources are culturally sensitive among Gen Z can lead to greater awareness and education.
Under 12 years,Male,Student,2-4 hours,"['Studying/Educational purposes', 'Watching videos/Movies', 'Gaming']",Never,Sometimes,Never,No,Neutral,A lot,Rarely,Very good,Very Good,Not sure,No,['Online therapy sessions'],Yes,['Connection to professional help'],Gen Z's mental health can greatly benefit from create safe spaces for Gen Z to share experiences and offer mental health training programs provided in universities.
